set,k,QQ,x_b,t,phi_x,F,sigmaF,Mean F Prediction,Std Dev Prediction,ReH_pred,ReH_std,ReE_pred,ReE_std,ReHt_pred,ReHt_std,dvcs_pred,dvcs_std
100,5.75,1.64,0.214,-0.34,7.5,0.0,0.0,3.0210943,0.31008393,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,27.62,0.0,0.0,0.99098015,0.07613249,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,37.97,0.6097,0.04957,0.6012458,0.034495845,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,51.74,0.3476,0.0315,0.35168388,0.012634405,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,66.87,0.2082,0.02604,0.22229132,0.008019078,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,81.97,0.1666,0.02617,0.15570275,0.007979287,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,97.06,0.1208,0.01839,0.11798927,0.007713498,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,112.15,0.093,0.01337,0.09523035,0.0074364226,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,127.23,0.0673,0.01514,0.08102039,0.0074388115,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,142.31,0.0576,0.02086,0.07213887,0.0076746894,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,157.38,0.0816,0.03457,0.06691661,0.007961212,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,172.46,0.0767,0.05237,0.06448715,0.008143677,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,187.54,0.0,0.0,0.06448715,0.008143677,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,202.62,0.0632,0.02076,0.06691661,0.007961212,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,217.69,0.0894,0.0267,0.07213887,0.007674689,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,232.77,0.0623,0.01949,0.08102039,0.0074388115,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,247.85,0.078,0.0154,0.09523035,0.007436422,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,262.94,0.1055,0.01704,0.117989205,0.0077134953,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,278.03,0.1572,0.01809,0.15570275,0.007979287,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,293.13,0.2614,0.03947,0.22229132,0.008019085,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,308.26,0.361,0.04113,0.35168403,0.012634415,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,322.03,0.5869,0.05134,0.6012458,0.034495845,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,332.38,0.0,0.0,0.99098015,0.07613249,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
100,5.75,1.64,0.214,-0.34,352.5,0.0,0.0,3.021095,0.3100838,-1.370895,2.9726295,1.0171014,7.624942,-7.580305,14.137402,0.0029474648,0.03714069
101,5.75,1.64,0.214,-0.45,7.5,0.0,0.0,6.4726777,0.9508986,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,29.04,0.0,0.0,0.7387064,0.07229708,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,38.02,0.397,0.03261,0.42018822,0.027899338,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,51.66,0.2142,0.02176,0.215008,0.0072107734,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,66.82,0.1572,0.01791,0.12310965,0.00793734,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,81.94,0.083,0.01262,0.08227266,0.0075832414,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,97.04,0.0554,0.00948,0.062140893,0.0063353367,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,112.13,0.0449,0.00972,0.05147747,0.005796645,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,127.22,0.0468,0.01404,0.04553936,0.0062540844,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,142.3,0.0,0.0,0.042162064,0.007113542,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,157.38,0.0,0.0,0.0403054,0.007864605,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,172.45,0.0,0.0,0.03947698,0.008278779,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,187.55,0.0,0.0,0.03947698,0.008278779,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,202.62,0.0,0.0,0.040305406,0.007864603,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,217.7,0.0232,0.01656,0.042162064,0.0071135387,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,232.78,0.0566,0.02787,0.04553936,0.0062540844,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,247.87,0.0407,0.00944,0.051477477,0.0057966434,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,262.96,0.0501,0.01521,0.062140875,0.0063353325,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,278.06,0.0883,0.01057,0.08227266,0.0075832414,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,293.18,0.1116,0.01591,0.12310965,0.007937358,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,308.34,0.2386,0.02988,0.21500777,0.0072107636,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,321.98,0.4454,0.04047,0.42018822,0.027899338,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,330.96,0.0,0.0,0.7387052,0.07229689,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
101,5.75,1.64,0.214,-0.45,352.5,0.0,0.0,6.4725995,0.9508872,5.926663,4.6956697,12.598729,7.586958,-13.012728,11.224494,0.029653654,0.038258296
102,5.75,1.88,0.215,-0.11,7.84,0.0,0.0,3.959904,0.28763366,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,23.16,3.3378,0.46855,3.361856,0.23125103,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,37.96,2.7154,0.34126,2.5895405,0.15949668,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,52.73,1.5653,0.17014,1.9064436,0.09808584,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,67.28,1.1438,0.11984,1.3970951,0.055752207,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,82.17,0.8924,0.1073,1.0275853,0.03196591,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,97.2,0.8012,0.11265,0.77115923,0.027172813,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,112.25,0.7615,0.15481,0.59689,0.031645976,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,127.3,0.4652,0.08758,0.48009637,0.0365444,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,142.35,0.4891,0.07513,0.40413076,0.03997603,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,157.41,0.3936,0.06194,0.35846803,0.04201232,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,172.47,0.3645,0.07864,0.33704293,0.042942833,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,187.53,0.0,0.0,0.33704293,0.042942837,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,202.59,0.4806,0.05398,0.35846797,0.04201232,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,217.65,0.506,0.06344,0.40413067,0.03997604,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,232.7,0.5188,0.06293,0.48009604,0.0365444,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,247.75,0.5895,0.06204,0.59688985,0.031645957,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,262.8,0.821,0.08097,0.77115923,0.02717282,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,277.83,0.9854,0.13066,1.027585,0.031965893,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,292.72,1.2637,0.1329,1.3970947,0.05575219,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,307.27,1.7853,0.17701,1.9064435,0.098085806,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,322.04,2.6943,0.30496,2.58954,0.15949664,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,336.84,3.6628,0.42446,3.3618557,0.23125097,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
102,5.75,1.88,0.215,-0.11,352.16,0.0,0.0,3.959904,0.28763366,2.6169815,3.9316556,-2.9204838,6.661369,17.549011,9.996914,0.13676204,0.046732437
103,5.75,1.88,0.215,-0.15,8.28,0.0,0.0,4.2708626,0.41609132,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,24.86,0.0,0.0,3.1322608,0.282966,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,38.98,2.3386,0.37443,2.1558516,0.17071453,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,52.95,1.4945,0.16626,1.4731281,0.09493033,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,67.13,0.994,0.09953,1.0248504,0.048678003,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,82.11,0.696,0.07662,0.7265928,0.023498546,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,97.16,0.4648,0.0469,0.53824633,0.016993403,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,112.22,0.438,0.05494,0.41810954,0.019367846,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,127.28,0.3178,0.05858,0.3410999,0.022033155,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,142.34,0.2737,0.05035,0.2925525,0.0236016,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,157.4,0.2863,0.03714,0.26398787,0.024361225,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,172.47,0.2677,0.03819,0.25073472,0.024652652,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,187.53,0.2752,0.03919,0.25073472,0.02465266,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,202.6,0.246,0.03749,0.26398787,0.024361234,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,217.66,0.3135,0.04524,0.29255247,0.023601606,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,232.72,0.4341,0.07253,0.3410999,0.022033155,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,247.78,0.4061,0.05046,0.41810954,0.019367851,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,262.84,0.494,0.05159,0.5382461,0.0169934,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,277.89,0.6686,0.06548,0.72659284,0.023498563,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,292.87,0.998,0.09878,1.0248495,0.04867794,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,307.05,1.6037,0.18729,1.4731281,0.09493023,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,321.02,1.948,0.24015,2.1558516,0.17071444,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,335.14,0.0,0.0,3.1322608,0.282966,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
103,5.75,1.88,0.215,-0.15,351.72,0.0,0.0,4.2708626,0.41609132,4.24248,3.208134,2.059565,5.050734,4.9127417,15.173863,0.1054601,0.07497108
104,5.75,1.88,0.215,-0.2,7.5,0.0,0.0,4.898001,0.5379819,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,28.48,0.0,0.0,2.4868922,0.24232647,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,40.38,0.0,0.0,1.6006917,0.13607423,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,53.14,1.1752,0.11849,1.042118,0.07182601,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,66.99,0.6188,0.08535,0.6952827,0.03541285,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,82.06,0.4684,0.06535,0.479575,0.017605633,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,97.14,0.3384,0.0481,0.35325146,0.012792925,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,112.2,0.2777,0.03479,0.27656424,0.012807577,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,127.27,0.2371,0.04285,0.22896667,0.013248616,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,142.33,0.1954,0.02979,0.19966328,0.013397233,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,157.4,0.1745,0.02879,0.18267298,0.013374692,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,172.47,0.1999,0.03784,0.17486551,0.013328299,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,187.53,0.1874,0.04032,0.1748655,0.013328303,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,202.6,0.1398,0.02388,0.18267298,0.013374692,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,217.67,0.1782,0.03037,0.19966324,0.013397225,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,232.73,0.2625,0.04771,0.22896658,0.013248604,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,247.8,0.2659,0.04259,0.27656424,0.0128075825,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,262.86,0.388,0.05552,0.35325143,0.012792925,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,277.94,0.5381,0.05714,0.479575,0.017605633,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,293.01,0.6778,0.0832,0.6952827,0.03541283,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,306.86,0.9436,0.09684,1.042118,0.071825966,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,319.62,0.0,0.0,1.6006895,0.136074,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,331.52,0.0,0.0,2.486892,0.24232633,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
104,5.75,1.88,0.215,-0.2,352.5,0.0,0.0,4.898001,0.53798187,3.6081047,3.712378,3.0601745,3.5262957,1.7425704,8.831506,0.08422013,0.063980654
105,5.75,1.88,0.215,-0.26,7.5,0.0,0.0,7.0068626,0.7029,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,22.5,0.0,0.0,3.0923612,0.28435665,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,41.86,0.0,0.0,1.1656662,0.082339,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,53.05,0.7443,0.06266,0.7445425,0.04092945,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,66.93,0.4401,0.05458,0.46891618,0.017110372,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
105,5.75,1.88,0.215,-0.26,82.03,0.3138,0.03312,0.3126941,0.00882974,7.2939696,4.189567,5.9550595,4.2411075,3.289618,7.586323,0.11381444,0.0506626
